year,month,day,dayofweek,true_prop,mostly_true_prop,half_true_prop,mostly_false_prop,false_prop,pants_on_fire_prop,total_counts,statement_len_words,statement_len_chars,speaker_description_len_words,speaker_description_len_chars,justification_len_words,justification_len_chars
2008.0,10.0,23.0,3.0,0.20108695,0.20108695,0.16847827,0.17391305,0.21195652,0.04347826,184.0,24.0,144.0,85.0,410.0,61.0,320.0
2011.0,8.0,15.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,2.0,13.0,85.0,7.0,38.0,85.0,454.0
2021.0,6.0,23.0,2.0,0.0,0.0,0.0,0.5,0.5,0.0,2.0,9.0,53.0,8.0,48.0,77.0,440.0
2012.0,10.0,11.0,3.0,0.42857143,0.2857143,0.2857143,0.0,0.0,0.0,7.0,32.0,165.0,11.0,79.0,105.0,566.0
2013.0,11.0,6.0,2.0,0.20563847,0.27363184,0.27031508,0.11774461,0.11774461,0.014925373,603.0,15.0,98.0,92.0,520.0,63.0,379.0
2021.0,6.0,26.0,5.0,0.0034873583,0.0113339145,0.030514386,0.0462075,0.61987793,0.2885789,1147.0,15.0,86.0,80.0,489.0,81.0,461.0
2014.0,4.0,16.0,2.0,0.17073171,0.17073171,0.12195122,0.14634146,0.17073171,0.2195122,41.0,19.0,113.0,39.0,237.0,94.0,570.0
2011.0,11.0,1.0,1.0,0.20563847,0.27363184,0.27031508,0.11774461,0.11774461,0.014925373,603.0,24.0,130.0,92.0,520.0,91.0,540.0
2021.0,12.0,4.0,5.0,0.004862237,0.004862237,0.024311183,0.08265802,0.65640193,0.22690438,617.0,16.0,81.0,13.0,85.0,139.0,852.0
2019.0,9.0,20.0,4.0,0.009970918,0.020772746,0.044869132,0.10178646,0.58579147,0.23680931,2407.0,15.0,88.0,8.0,51.0,78.0,478.0
2019.0,2.0,27.0,2.0,0.16666667,0.33333334,0.33333334,0.0,0.0,0.16666667,6.0,22.0,122.0,44.0,278.0,79.0,453.0
2016.0,11.0,11.0,4.0,0.010928961,0.024590164,0.032786883,0.07240437,0.318306,0.5409836,732.0,13.0,73.0,5.0,28.0,41.0,239.0
2008.0,9.0,3.0,2.0,0.20108695,0.20108695,0.16847827,0.17391305,0.21195652,0.04347826,184.0,6.0,33.0,85.0,410.0,84.0,433.0
2016.0,9.0,24.0,5.0,0.036960986,0.08726899,0.123203285,0.19917865,0.36960986,0.18377824,974.0,13.0,76.0,66.0,367.0,89.0,498.0
2016.0,7.0,21.0,3.0,0.036960986,0.08726899,0.123203285,0.19917865,0.36960986,0.18377824,974.0,38.0,210.0,66.0,367.0,74.0,394.0
2012.0,3.0,6.0,1.0,0.11111111,0.3888889,0.33333334,0.11111111,0.055555556,0.0,18.0,25.0,136.0,19.0,100.0,62.0,338.0
2015.0,6.0,2.0,1.0,0.0,0.0,0.0,0.33333334,0.33333334,0.33333334,3.0,18.0,97.0,14.0,80.0,88.0,472.0
2008.0,7.0,7.0,0.0,0.20108695,0.20108695,0.16847827,0.17391305,0.21195652,0.04347826,184.0,24.0,152.0,85.0,410.0,128.0,729.0
2014.0,12.0,2.0,1.0,0.0,0.5,0.0,0.0,0.0,0.5,2.0,11.0,59.0,16.0,101.0,121.0,730.0
2012.0,9.0,12.0,2.0,0.14285715,0.14285715,0.35714287,0.14285715,0.21428572,0.0,14.0,25.0,166.0,13.0,86.0,114.0,686.0
2016.0,7.0,26.0,1.0,0.20454545,0.27272728,0.29545453,0.11363637,0.045454547,0.06818182,44.0,24.0,127.0,26.0,152.0,103.0,605.0
2022.0,5.0,22.0,6.0,0.009970918,0.020772746,0.044869132,0.10178646,0.58579147,0.23680931,2407.0,6.0,42.0,8.0,51.0,49.0,319.0
2018.0,1.0,13.0,5.0,0.33333334,0.33333334,0.0,0.0,0.33333334,0.0,3.0,18.0,92.0,31.0,188.0,221.0,1357.0
2021.0,12.0,20.0,0.0,0.009970918,0.020772746,0.044869132,0.10178646,0.58579147,0.23680931,2407.0,10.0,62.0,8.0,51.0,61.0,339.0
2011.0,5.0,16.0,0.0,0.12790698,0.18604651,0.27906978,0.26744187,0.08139535,0.058139537,86.0,14.0,74.0,61.0,355.0,118.0,650.0
2013.0,1.0,31.0,3.0,0.1724138,0.2413793,0.25862068,0.20689656,0.12068965,0.0,58.0,18.0,117.0,62.0,356.0,84.0,510.0
2019.0,10.0,29.0,1.0,0.009970918,0.020772746,0.044869132,0.10178646,0.58579147,0.23680931,2407.0,23.0,124.0,8.0,51.0,86.0,486.0
2014.0,9.0,19.0,4.0,0.16853933,0.2247191,0.23595506,0.2247191,0.123595506,0.02247191,89.0,14.0,72.0,99.0,543.0,178.0,992.0
2012.0,1.0,25.0,2.0,0.1875,0.25,0.25,0.1875,0.0625,0.0625,16.0,24.0,125.0,23.0,145.0,113.0,634.0
2010.0,5.0,13.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8.0,50.0,11.0,65.0,51.0,302.0
2019.0,6.0,21.0,4.0,0.050955415,0.14012739,0.13375796,0.3057325,0.29936305,0.070063695,157.0,37.0,186.0,79.0,454.0,146.0,870.0
2009.0,5.0,21.0,3.0,0.1764706,0.11764706,0.11764706,0.29411766,0.23529412,0.05882353,17.0,38.0,260.0,21.0,114.0,89.0,549.0
2022.0,3.0,14.0,0.0,0.09328358,0.23880596,0.24253732,0.19402985,0.20522387,0.026119404,268.0,16.0,86.0,98.0,578.0,105.0,639.0
2017.0,8.0,21.0,0.0,0.12790698,0.18604651,0.27906978,0.26744187,0.08139535,0.058139537,86.0,39.0,192.0,61.0,355.0,87.0,509.0
2021.0,10.0,21.0,3.0,0.0034873583,0.0113339145,0.030514386,0.0462075,0.61987793,0.2885789,1147.0,15.0,90.0,80.0,489.0,84.0,516.0
2021.0,5.0,19.0,2.0,0.0034873583,0.0113339145,0.030514386,0.0462075,0.61987793,0.2885789,1147.0,12.0,75.0,80.0,489.0,92.0,518.0
2020.0,3.0,14.0,5.0,0.009970918,0.020772746,0.044869132,0.10178646,0.58579147,0.23680931,2407.0,11.0,59.0,8.0,51.0,47.0,281.0
2019.0,9.0,22.0,6.0,0.036960986,0.08726899,0.123203285,0.19917865,0.36960986,0.18377824,974.0,17.0,90.0,66.0,367.0,116.0,665.0
2020.0,9.0,16.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,12.0,84.0,29.0,150.0,151.0,961.0
2013.0,1.0,25.0,4.0,0.0,0.5,0.0,0.0,0.5,0.0,2.0,15.0,95.0,29.0,171.0,62.0,367.0
2018.0,10.0,8.0,0.0,0.0034873583,0.0113339145,0.030514386,0.0462075,0.61987793,0.2885789,1147.0,17.0,98.0,80.0,489.0,104.0,642.0
2018.0,2.0,24.0,5.0,0.12,0.35428572,0.2742857,0.14857143,0.10285714,0.0,175.0,11.0,71.0,99.0,594.0,83.0,480.0
2014.0,5.0,10.0,5.0,0.0,0.6,0.2,0.2,0.0,0.0,5.0,20.0,99.0,54.0,308.0,165.0,945.0
2019.0,11.0,13.0,2.0,0.009970918,0.020772746,0.044869132,0.10178646,0.58579147,0.23680931,2407.0,29.0,173.0,8.0,51.0,50.0,300.0
2017.0,1.0,10.0,1.0,0.0,0.33333334,0.22222222,0.0,0.33333334,0.11111111,9.0,11.0,67.0,69.0,408.0,95.0,574.0
2011.0,3.0,18.0,4.0,0.05,0.2,0.25,0.15,0.25,0.1,20.0,5.0,29.0,64.0,371.0,81.0,537.0
2011.0,12.0,28.0,2.0,0.14903846,0.15865384,0.27884614,0.16826923,0.15384616,0.09134615,208.0,18.0,93.0,132.0,748.0,106.0,610.0
2012.0,5.0,9.0,2.0,0.11764706,0.05882353,0.1764706,0.3529412,0.23529412,0.05882353,17.0,16.0,102.0,51.0,308.0,84.0,501.0
2019.0,2.0,13.0,2.0,0.036960986,0.08726899,0.123203285,0.19917865,0.36960986,0.18377824,974.0,14.0,66.0,66.0,367.0,87.0,452.0
2013.0,4.0,23.0,1.0,0.41666666,0.0,0.41666666,0.083333336,0.0,0.083333336,12.0,31.0,204.0,7.0,57.0,79.0,487.0
2008.0,1.0,31.0,3.0,0.23920266,0.25249168,0.23255815,0.14285715,0.10299003,0.029900333,301.0,9.0,49.0,89.0,502.0,155.0,915.0
2020.0,3.0,9.0,0.0,0.0,0.0,0.33333334,0.0,0.6666667,0.0,3.0,30.0,176.0,9.0,38.0,103.0,617.0
2018.0,7.0,16.0,0.0,0.036960986,0.08726899,0.123203285,0.19917865,0.36960986,0.18377824,974.0,9.0,61.0,66.0,367.0,130.0,766.0
2019.0,8.0,22.0,3.0,0.13636364,0.09090909,0.22727273,0.045454547,0.45454547,0.045454547,22.0,19.0,114.0,102.0,609.0,147.0,920.0
2022.0,3.0,28.0,0.0,0.009970918,0.020772746,0.044869132,0.10178646,0.58579147,0.23680931,2407.0,22.0,131.0,8.0,51.0,59.0,350.0
2014.0,12.0,2.0,1.0,0.30769232,0.3846154,0.15384616,0.15384616,0.0,0.0,13.0,21.0,109.0,13.0,75.0,57.0,302.0
2020.0,7.0,10.0,4.0,0.0034873583,0.0113339145,0.030514386,0.0462075,0.61987793,0.2885789,1147.0,4.0,22.0,80.0,489.0,65.0,406.0
2022.0,7.0,9.0,5.0,0.0034873583,0.0113339145,0.030514386,0.0462075,0.61987793,0.2885789,1147.0,19.0,87.0,80.0,489.0,118.0,670.0
2013.0,5.0,10.0,4.0,0.0,0.0,0.0,0.0,0.5,0.5,6.0,14.0,97.0,8.0,39.0,96.0,516.0
2020.0,11.0,7.0,5.0,0.0034873583,0.0113339145,0.030514386,0.0462075,0.61987793,0.2885789,1147.0,11.0,61.0,80.0,489.0,63.0,360.0
2010.0,5.0,26.0,2.0,0.18181819,0.0,0.0,0.36363637,0.36363637,0.09090909,11.0,24.0,133.0,18.0,100.0,87.0,497.0
2023.0,7.0,20.0,3.0,0.055555556,0.44444445,0.11111111,0.19444445,0.19444445,0.0,36.0,14.0,97.0,97.0,574.0,113.0,725.0
2017.0,12.0,14.0,3.0,0.14285715,0.2857143,0.2857143,0.2857143,0.0,0.0,7.0,38.0,208.0,38.0,243.0,93.0,523.0
2011.0,2.0,17.0,3.0,0.30769232,0.15384616,0.115384616,0.07692308,0.30769232,0.03846154,26.0,26.0,152.0,15.0,85.0,97.0,528.0
2022.0,10.0,11.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,14.0,87.0,28.0,177.0,165.0,1010.0
2018.0,11.0,7.0,2.0,0.036960986,0.08726899,0.123203285,0.19917865,0.36960986,0.18377824,974.0,23.0,137.0,66.0,367.0,88.0,510.0
2012.0,6.0,26.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,77.0,18.0,126.0,79.0,523.0
2014.0,4.0,3.0,3.0,0.0,0.33333334,0.0,0.0,0.33333334,0.33333334,3.0,11.0,72.0,3.0,28.0,38.0,227.0
2013.0,8.0,7.0,2.0,0.23809524,0.3809524,0.2857143,0.04761905,0.0,0.04761905,21.0,22.0,118.0,6.0,30.0,59.0,353.0
2015.0,8.0,5.0,2.0,0.6666667,0.33333334,0.0,0.0,0.0,0.0,3.0,27.0,160.0,11.0,73.0,91.0,565.0
2010.0,1.0,14.0,3.0,0.23529412,0.1764706,0.23529412,0.11764706,0.23529412,0.0,17.0,26.0,131.0,31.0,181.0,101.0,634.0
2011.0,5.0,12.0,3.0,0.25,0.25,0.125,0.0,0.125,0.25,8.0,20.0,115.0,22.0,147.0,55.0,325.0
2010.0,10.0,17.0,6.0,0.16666667,0.0,0.16666667,0.5,0.0,0.16666667,6.0,9.0,48.0,32.0,170.0,63.0,362.0
2020.0,6.0,26.0,4.0,0.009970918,0.020772746,0.044869132,0.10178646,0.58579147,0.23680931,2407.0,9.0,47.0,8.0,51.0,143.0,839.0
2013.0,12.0,5.0,3.0,0.0,0.375,0.25,0.25,0.125,0.0,8.0,32.0,160.0,51.0,321.0,89.0,481.0
2010.0,1.0,4.0,0.0,0.084337346,0.13253012,0.25301206,0.20481928,0.18072289,0.14457831,83.0,23.0,144.0,34.0,210.0,66.0,419.0
2011.0,4.0,14.0,3.0,0.08287293,0.19889502,0.2320442,0.2320442,0.20994475,0.044198897,181.0,22.0,152.0,37.0,198.0,84.0,506.0
2011.0,11.0,16.0,2.0,0.11111111,0.22222222,0.2777778,0.2777778,0.055555556,0.055555556,18.0,13.0,66.0,30.0,157.0,53.0,321.0
2018.0,6.0,19.0,1.0,0.12682927,0.2195122,0.1902439,0.19512194,0.21463415,0.053658538,205.0,8.0,43.0,88.0,559.0,71.0,432.0
2008.0,10.0,7.0,1.0,0.20563847,0.27363184,0.27031508,0.11774461,0.11774461,0.014925373,603.0,20.0,122.0,92.0,520.0,79.0,504.0
2010.0,11.0,2.0,1.0,0.15116279,0.13953489,0.25,0.1744186,0.18023255,0.10465116,172.0,16.0,84.0,35.0,191.0,55.0,320.0
2021.0,6.0,22.0,1.0,0.018518519,0.055555556,0.2037037,0.33333334,0.25925925,0.12962963,54.0,21.0,131.0,12.0,85.0,182.0,1105.0
2014.0,12.0,17.0,2.0,0.44,0.28,0.08,0.08,0.12,0.0,25.0,18.0,99.0,10.0,63.0,77.0,418.0
2022.0,1.0,11.0,1.0,0.09328358,0.23880596,0.24253732,0.19402985,0.20522387,0.026119404,268.0,10.0,53.0,98.0,578.0,97.0,565.0
2007.0,5.0,10.0,3.0,0.11764706,0.47058824,0.1764706,0.05882353,0.11764706,0.05882353,17.0,12.0,56.0,57.0,362.0,73.0,404.0
2016.0,1.0,28.0,3.0,0.036960986,0.08726899,0.123203285,0.19917865,0.36960986,0.18377824,974.0,13.0,68.0,66.0,367.0,89.0,476.0
2011.0,2.0,22.0,1.0,0.25,0.0,0.25,0.0,0.0,0.5,4.0,21.0,112.0,19.0,108.0,90.0,576.0
2019.0,11.0,13.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,25.0,149.0,29.0,181.0,59.0,362.0
2021.0,4.0,26.0,0.0,0.009970918,0.020772746,0.044869132,0.10178646,0.58579147,0.23680931,2407.0,15.0,97.0,8.0,51.0,80.0,480.0
2023.0,3.0,27.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,2.0,13.0,72.0,9.0,73.0,71.0,451.0
2020.0,4.0,2.0,3.0,0.009970918,0.020772746,0.044869132,0.10178646,0.58579147,0.23680931,2407.0,9.0,62.0,8.0,51.0,96.0,593.0
2009.0,10.0,14.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,24.0,141.0,36.0,243.0,86.0,517.0
2022.0,10.0,20.0,3.0,0.0,0.5,0.5,0.0,0.0,0.0,2.0,13.0,68.0,91.0,599.0,134.0,768.0
2021.0,10.0,28.0,3.0,0.009970918,0.020772746,0.044869132,0.10178646,0.58579147,0.23680931,2407.0,16.0,106.0,8.0,51.0,66.0,381.0
2010.0,10.0,27.0,2.0,0.20563847,0.27363184,0.27031508,0.11774461,0.11774461,0.014925373,603.0,23.0,143.0,92.0,520.0,66.0,381.0
2012.0,2.0,4.0,5.0,0.14903846,0.15865384,0.27884614,0.16826923,0.15384616,0.09134615,208.0,6.0,41.0,132.0,748.0,83.0,505.0
2008.0,8.0,1.0,4.0,0.0,0.0,0.0,0.0,0.75,0.25,4.0,15.0,95.0,52.0,309.0,71.0,431.0
2010.0,8.0,15.0,6.0,0.11111111,0.44444445,0.33333334,0.0,0.11111111,0.0,9.0,8.0,42.0,34.0,207.0,107.0,583.0
2023.0,7.0,11.0,1.0,0.009970918,0.020772746,0.044869132,0.10178646,0.58579147,0.23680931,2407.0,13.0,83.0,8.0,51.0,115.0,724.0
2013.0,2.0,19.0,1.0,0.0,0.33333334,0.33333334,0.0,0.33333334,0.0,3.0,31.0,168.0,42.0,236.0,122.0,696.0
2012.0,9.0,12.0,2.0,0.20563847,0.27363184,0.27031508,0.11774461,0.11774461,0.014925373,603.0,19.0,123.0,92.0,520.0,133.0,820.0
2020.0,4.0,3.0,4.0,0.009970918,0.020772746,0.044869132,0.10178646,0.58579147,0.23680931,2407.0,18.0,107.0,8.0,51.0,83.0,474.0
2014.0,11.0,6.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,18.0,108.0,9.0,48.0,141.0,857.0
2021.0,5.0,4.0,1.0,0.0,0.14285715,0.42857143,0.0,0.42857143,0.0,7.0,11.0,62.0,37.0,200.0,76.0,504.0
2016.0,9.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19.0,131.0,19.0,124.0,168.0,1051.0
2021.0,1.0,20.0,2.0,0.009970918,0.020772746,0.044869132,0.10178646,0.58579147,0.23680931,2407.0,29.0,161.0,8.0,51.0,136.0,791.0
2017.0,3.0,31.0,4.0,0.21212122,0.33333334,0.21212122,0.18181819,0.060606062,0.0,33.0,17.0,81.0,58.0,359.0,98.0,590.0
2012.0,9.0,25.0,1.0,0.2,0.13333334,0.33333334,0.2,0.13333334,0.0,15.0,13.0,75.0,26.0,133.0,103.0,607.0
2018.0,9.0,19.0,2.0,0.08287293,0.19889502,0.2320442,0.2320442,0.20994475,0.044198897,181.0,7.0,35.0,37.0,198.0,116.0,671.0
2016.0,2.0,22.0,0.0,0.6,0.2,0.0,0.0,0.2,0.0,5.0,39.0,215.0,24.0,126.0,107.0,645.0
2012.0,7.0,30.0,0.0,0.06557377,0.08196721,0.14754099,0.32786885,0.22950819,0.14754099,61.0,8.0,46.0,4.0,43.0,61.0,369.0
2010.0,7.0,28.0,2.0,0.16666667,0.25,0.33333334,0.25,0.0,0.0,12.0,19.0,109.0,9.0,70.0,56.0,308.0
2011.0,12.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,11.0,58.0,34.0,183.0,82.0,522.0
2008.0,4.0,29.0,1.0,0.23920266,0.25249168,0.23255815,0.14285715,0.10299003,0.029900333,301.0,18.0,105.0,89.0,502.0,70.0,397.0
2013.0,2.0,19.0,1.0,0.20563847,0.27363184,0.27031508,0.11774461,0.11774461,0.014925373,603.0,23.0,128.0,92.0,520.0,149.0,840.0
2020.0,1.0,10.0,4.0,0.0,0.5,0.0,0.0,0.5,0.0,2.0,10.0,64.0,23.0,145.0,99.0,571.0
2014.0,8.0,24.0,6.0,0.14285715,0.14285715,0.42857143,0.2857143,0.0,0.0,7.0,12.0,64.0,6.0,29.0,62.0,333.0
2019.0,11.0,20.0,2.0,0.0034873583,0.0113339145,0.030514386,0.0462075,0.61987793,0.2885789,1147.0,21.0,134.0,80.0,489.0,63.0,406.0
2015.0,6.0,29.0,0.0,0.032967035,0.027472528,0.04945055,0.06043956,0.24175824,0.5879121,182.0,19.0,114.0,14.0,95.0,106.0,628.0
2012.0,4.0,16.0,0.0,0.33333334,0.33333334,0.33333334,0.0,0.0,0.0,3.0,12.0,64.0,39.0,228.0,97.0,524.0
2020.0,10.0,1.0,3.0,0.0,0.33333334,0.33333334,0.16666667,0.16666667,0.0,6.0,17.0,93.0,14.0,81.0,95.0,575.0
2013.0,1.0,7.0,0.0,0.6,0.0,0.2,0.2,0.0,0.0,5.0,13.0,75.0,18.0,97.0,72.0,392.0
2007.0,10.0,12.0,4.0,0.09328358,0.23880596,0.24253732,0.19402985,0.20522387,0.026119404,268.0,23.0,108.0,98.0,578.0,98.0,588.0
2023.0,3.0,15.0,2.0,0.009970918,0.020772746,0.044869132,0.10178646,0.58579147,0.23680931,2407.0,8.0,47.0,8.0,51.0,137.0,849.0
2015.0,8.0,17.0,0.0,0.009970918,0.020772746,0.044869132,0.10178646,0.58579147,0.23680931,2407.0,21.0,115.0,8.0,51.0,61.0,312.0
2008.0,8.0,1.0,4.0,0.0,0.0,0.0,0.0,0.75,0.25,4.0,11.0,77.0,52.0,309.0,83.0,545.0
2020.0,11.0,4.0,2.0,0.0124223605,0.024844721,0.03726708,0.07453416,0.6086956,0.24223602,161.0,20.0,102.0,15.0,104.0,30.0,164.0
2012.0,10.0,22.0,0.0,0.14903846,0.15865384,0.27884614,0.16826923,0.15384616,0.09134615,208.0,26.0,149.0,132.0,748.0,145.0,812.0
2020.0,1.0,13.0,0.0,0.12,0.35428572,0.2742857,0.14857143,0.10285714,0.0,175.0,27.0,177.0,99.0,594.0,119.0,718.0
2015.0,5.0,3.0,6.0,0.0,0.25,0.75,0.0,0.0,0.0,4.0,11.0,67.0,9.0,44.0,55.0,335.0
2014.0,2.0,25.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,99.0,35.0,211.0,66.0,395.0
2021.0,5.0,2.0,6.0,0.20192307,0.1923077,0.2596154,0.10576923,0.16346154,0.07692308,104.0,34.0,168.0,63.0,355.0,125.0,707.0
2018.0,2.0,14.0,2.0,0.0,0.14285715,0.14285715,0.14285715,0.5714286,0.0,7.0,7.0,34.0,24.0,142.0,72.0,385.0
2013.0,11.0,12.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,9.0,50.0,21.0,133.0,114.0,649.0
2010.0,9.0,22.0,2.0,0.25,0.375,0.25,0.0,0.125,0.0,8.0,31.0,179.0,35.0,214.0,107.0,594.0
2022.0,10.0,17.0,0.0,0.0034873583,0.0113339145,0.030514386,0.0462075,0.61987793,0.2885789,1147.0,15.0,102.0,80.0,489.0,109.0,667.0
2018.0,9.0,30.0,6.0,0.0,0.27272728,0.45454547,0.09090909,0.09090909,0.09090909,11.0,10.0,59.0,33.0,194.0,71.0,384.0
2020.0,12.0,16.0,2.0,0.0124223605,0.024844721,0.03726708,0.07453416,0.6086956,0.24223602,161.0,32.0,146.0,15.0,104.0,82.0,415.0
2011.0,2.0,27.0,6.0,0.12682927,0.2195122,0.1902439,0.19512194,0.21463415,0.053658538,205.0,13.0,81.0,88.0,559.0,83.0,520.0
2012.0,10.0,22.0,0.0,0.20563847,0.27363184,0.27031508,0.11774461,0.11774461,0.014925373,603.0,18.0,105.0,92.0,520.0,54.0,321.0
2016.0,1.0,27.0,2.0,0.20108695,0.20108695,0.16847827,0.17391305,0.21195652,0.04347826,184.0,20.0,117.0,85.0,410.0,93.0,554.0
2016.0,2.0,3.0,2.0,0.12,0.35428572,0.2742857,0.14857143,0.10285714,0.0,175.0,9.0,49.0,99.0,594.0,103.0,620.0
2012.0,9.0,20.0,3.0,0.0,0.0,0.0,0.75,0.0,0.25,4.0,15.0,90.0,10.0,63.0,52.0,270.0
2018.0,7.0,31.0,1.0,0.010928961,0.024590164,0.032786883,0.07240437,0.318306,0.5409836,732.0,27.0,167.0,5.0,28.0,108.0,706.0
2013.0,1.0,30.0,2.0,0.0,0.11111111,0.44444445,0.33333334,0.11111111,0.0,9.0,23.0,152.0,11.0,76.0,74.0,450.0
2008.0,6.0,2.0,0.0,0.20108695,0.20108695,0.16847827,0.17391305,0.21195652,0.04347826,184.0,15.0,88.0,85.0,410.0,75.0,415.0
2019.0,4.0,1.0,0.0,0.010928961,0.024590164,0.032786883,0.07240437,0.318306,0.5409836,732.0,20.0,110.0,5.0,28.0,65.0,399.0
2011.0,2.0,17.0,3.0,0.018518519,0.055555556,0.2037037,0.33333334,0.25925925,0.12962963,54.0,24.0,154.0,12.0,85.0,72.0,398.0
2012.0,8.0,24.0,4.0,0.2,0.4,0.2,0.0,0.2,0.0,10.0,24.0,153.0,30.0,191.0,141.0,791.0
2010.0,10.0,24.0,6.0,0.5,0.0,0.125,0.0,0.125,0.25,8.0,33.0,187.0,23.0,145.0,82.0,483.0
2010.0,10.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,11.0,66.0,43.0,241.0,56.0,324.0
2021.0,3.0,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,13.0,82.0,14.0,98.0,55.0,326.0
2011.0,9.0,12.0,0.0,0.125,0.3125,0.16666667,0.14583333,0.1875,0.0625,48.0,15.0,80.0,47.0,302.0,98.0,546.0
2014.0,10.0,15.0,2.0,0.18518518,0.16049382,0.16049382,0.2345679,0.18518518,0.074074075,81.0,20.0,127.0,48.0,274.0,50.0,320.0
2012.0,8.0,16.0,3.0,0.0,0.0,0.25,0.5,0.25,0.0,4.0,26.0,151.0,52.0,346.0,134.0,812.0
2020.0,10.0,22.0,3.0,0.125,0.25,0.0,0.375,0.25,0.0,8.0,13.0,81.0,19.0,106.0,56.0,327.0
2012.0,1.0,27.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,13.0,74.0,19.0,121.0,70.0,391.0
2020.0,9.0,8.0,1.0,0.009970918,0.020772746,0.044869132,0.10178646,0.58579147,0.23680931,2407.0,21.0,119.0,8.0,51.0,87.0,503.0
2020.0,9.0,19.0,5.0,0.25,0.0,0.25,0.25,0.25,0.0,4.0,17.0,75.0,35.0,227.0,51.0,262.0
2010.0,10.0,24.0,6.0,0.16853933,0.2247191,0.23595506,0.2247191,0.123595506,0.02247191,89.0,30.0,165.0,99.0,543.0,69.0,439.0
2013.0,10.0,16.0,2.0,0.0,0.0,0.5,0.0,0.0,0.5,2.0,20.0,135.0,13.0,74.0,100.0,591.0
2018.0,3.0,8.0,3.0,0.036960986,0.08726899,0.123203285,0.19917865,0.36960986,0.18377824,974.0,31.0,164.0,66.0,367.0,210.0,1140.0
2015.0,6.0,16.0,1.0,0.3846154,0.23076923,0.30769232,0.07692308,0.0,0.0,13.0,20.0,107.0,103.0,632.0,183.0,1077.0
